# Generated on 20231113_061841
# START DATA TYPES
# int64 : UID.spectrum,UID.metadata,sample.section,configuration.detector.analyzer.number_of_channels,configuration.acquisition.total_counts
# float64 : configuration.detector.analyzer.gain,configuration.detector.analyzer.offset,configuration.detector.fwhm,configuration.acquisition.real_time.seconds,configuration.acquisition.live_time.seconds,configuration.acquisition.dead_time,configuration.acquisition.count_rate
# datetime64[ns] : configuration.acquisition.date
# object : configuration.detector.analyzer.energy_range
# END DATA TYPES
UID.spectrum,UID.metadata,sample.section,configuration.detector.analyzer.number_of_channels,configuration.detector.analyzer.gain,configuration.detector.analyzer.offset,configuration.detector.analyzer.energy_range,configuration.detector.fwhm,configuration.acquisition.date,configuration.acquisition.total_counts,configuration.acquisition.real_time.seconds,configuration.acquisition.live_time.seconds,configuration.acquisition.dead_time,configuration.acquisition.count_rate
100000,1009,1,16384,0.1,0.0,0-1600,11.59,2012-01-13 00:53:00,6137746,636.72,600.0,5.7700000000000005,10229.5767
100001,1009,1,16384,0.1,0.0,0-1600,11.59,2012-01-13 00:42:00,6141671,636.74,600.0,5.7700000000000005,10236.1183
100002,1009,1,16384,0.1,0.0,0-1600,11.59,2012-01-13 00:32:00,6140639,636.74,600.0,5.7700000000000005,10234.3983
100003,1009,1,16384,0.1,0.0,0-1600,11.59,2012-01-13 01:14:00,6137979,636.72,600.0,5.7700000000000005,10229.965
100004,1009,1,16384,0.1,0.0,0-1600,11.59,2012-01-13 01:04:00,6136178,636.72,600.0,5.7700000000000005,10226.9633
100005,1009,1,16384,0.1,0.0,0-1600,11.59,2012-01-13 01:25:00,6134816,636.7,600.0,5.76,10224.6933
100006,1009,1,16384,0.1,0.0,0-1600,11.59,2012-01-13 01:36:00,6134524,636.7,600.0,5.76,10224.2067
100014,1018,1,16384,0.1,0.0,0-1600,11.59,2012-01-19 20:43:00,4183578,325.62,300.0,7.870000000000001,13945.26
100015,1018,1,16384,0.1,0.0,0-1600,11.59,2012-01-19 20:48:00,4187240,325.62,300.0,7.870000000000001,13957.4667
100016,1018,1,16384,0.1,0.0,0-1600,11.59,2012-01-19 20:38:00,4180725,325.6,300.0,7.86,13935.75
100017,1018,1,16384,0.1,0.0,0-1600,11.59,2012-01-19 20:54:00,4185553,325.64,300.0,7.870000000000001,13951.8433
100018,1018,1,16384,0.1,0.0,0-1600,11.59,2012-01-19 20:59:00,4184519,325.62,300.0,7.870000000000001,13948.3967
100019,1018,1,16384,0.1,0.0,0-1600,11.59,2012-01-19 21:10:00,4186685,325.64,300.0,7.870000000000001,13955.6167
100020,1018,1,16384,0.1,0.0,0-1600,11.59,2012-01-19 21:05:00,4185829,325.64,300.0,7.870000000000001,13952.7633
100021,1007,1,16384,0.1,0.0,0-1600,11.59,2012-01-13 23:53:00,5224873,631.12,600.0,4.93,8708.1217
100022,1007,1,16384,0.1,0.0,0-1600,11.59,2012-01-13 23:43:00,5232836,631.16,600.0,4.9399999999999995,8721.3933
100023,1007,1,16384,0.1,0.0,0-1600,11.59,2012-01-13 23:32:00,5228395,631.12,600.0,4.93,8713.9917
100024,1007,1,16384,0.1,0.0,0-1600,11.59,2012-01-14 00:15:00,5227822,631.14,600.0,4.93,8713.0367
100025,1007,1,16384,0.1,0.0,0-1600,11.59,2012-01-14 00:04:00,5231068,631.16,600.0,4.9399999999999995,8718.4467
100026,1007,1,16384,0.1,0.0,0-1600,11.59,2012-01-14 00:25:00,5232675,631.16,600.0,4.9399999999999995,8721.125
100027,1007,1,16384,0.1,0.0,0-1600,11.59,2012-01-14 00:36:00,5230677,631.16,600.0,4.9399999999999995,8717.795
100028,1015,1,16384,0.1,0.0,0-1600,11.59,2012-01-20 20:06:00,1759876,310.58,300.0,3.4099999999999997,5866.2533
100029,1015,1,16384,0.1,0.0,0-1600,11.59,2012-01-20 20:11:00,1761690,310.58,300.0,3.4099999999999997,5872.3
100030,1015,1,16384,0.1,0.0,0-1600,11.59,2012-01-20 20:01:00,1760622,310.58,300.0,3.4099999999999997,5868.74
100031,1015,1,16384,0.1,0.0,0-1600,11.59,2012-01-20 19:56:00,1761104,310.58,300.0,3.4099999999999997,5870.3467
100032,1015,1,16384,0.1,0.0,0-1600,11.59,2012-01-20 19:40:00,1762767,310.6,300.0,3.4099999999999997,5875.89
100033,1015,1,16384,0.1,0.0,0-1600,11.59,2012-01-20 19:51:00,1761515,310.58,300.0,3.4099999999999997,5871.7167
100034,1015,1,16384,0.1,0.0,0-1600,11.59,2012-01-20 19:45:00,1762178,310.6,300.0,3.4099999999999997,5873.9267
100035,1008,1,16384,0.075,0.0,0-1200,0.73,2011-05-03 18:35:00,1234394,1238.54,1200.0,3.11,1028.6617
100036,1008,1,16384,0.075,0.0,0-1200,0.73,2011-05-03 18:56:00,1235775,1238.5,1200.0,3.11,1029.8125
100037,1008,1,16384,0.075,0.0,0-1200,0.73,2011-05-03 19:17:00,1237221,1238.56,1200.0,3.11,1031.0175
100038,1008,1,16384,0.075,0.0,0-1200,0.73,2011-05-03 20:40:00,1236874,1238.58,1200.0,3.11,1030.7283
100039,1008,1,16384,0.075,0.0,0-1200,0.73,2011-05-03 20:19:00,1240692,1239.38,1200.0,3.18,1033.91
100040,1008,1,16384,0.075,0.0,0-1200,0.73,2011-05-03 19:38:00,1238253,1238.6,1200.0,3.1199999999999997,1031.8775
100041,1008,1,16384,0.075,0.0,0-1200,0.73,2011-05-03 19:58:00,1236774,1238.56,1200.0,3.11,1030.645
100042,1027,1,16384,0.075,0.0,0-1200,0.73,2011-03-02 20:54:00,3258592,1302.26,1200.0,7.85,2715.4933
100043,1027,1,16384,0.075,0.0,0-1200,0.73,2011-03-02 20:33:00,3257944,1302.26,1200.0,7.85,2714.9533
100044,1027,1,16384,0.075,0.0,0-1200,0.73,2011-03-02 19:49:00,3260834,1302.96,1200.0,7.9,2717.3617
100045,1027,1,16384,0.075,0.0,0-1200,0.73,2011-03-02 20:11:00,3256286,1302.18,1200.0,7.85,2713.5717
100046,1027,1,16384,0.075,0.0,0-1200,0.73,2011-03-02 18:44:00,3256581,1302.08,1200.0,7.84,2713.8175
100047,1027,1,16384,0.075,0.0,0-1200,0.73,2011-03-02 19:06:00,3256199,1302.08,1200.0,7.84,2713.4992
100048,1027,1,16384,0.075,0.0,0-1200,0.73,2011-03-02 19:27:00,3257064,1302.18,1200.0,7.85,2714.22
100049,1012,1,16384,0.075,0.0,0-1200,0.73,2011-04-29 18:48:00,2367205,1274.1,1200.0,5.82,1972.6708
100050,1012,1,16384,0.075,0.0,0-1200,0.73,2011-04-29 19:09:00,2368005,1274.12,1200.0,5.82,1973.3375
100051,1012,1,16384,0.075,0.0,0-1200,0.73,2011-04-29 19:31:00,2368329,1274.12,1200.0,5.82,1973.6075
100052,1012,1,16384,0.075,0.0,0-1200,0.73,2011-04-29 20:56:00,2367733,1274.1,1200.0,5.82,1973.1108
100053,1012,1,16384,0.075,0.0,0-1200,0.73,2011-04-29 20:35:00,2370092,1274.16,1200.0,5.82,1975.0767
100054,1012,1,16384,0.075,0.0,0-1200,0.73,2011-04-29 19:52:00,2367714,1274.08,1200.0,5.81,1973.095
100055,1012,1,16384,0.075,0.0,0-1200,0.73,2011-04-29 20:13:00,2367666,1274.06,1200.0,5.81,1973.055
100056,1017,1,16384,0.075,0.0,0-1200,0.73,2011-04-28 17:32:00,4785292,1352.64,1200.0,11.28,3987.7433
100057,1017,1,16384,0.075,0.0,0-1200,0.73,2011-04-28 18:18:00,4787424,1352.7,1200.0,11.29,3989.52
100058,1017,1,16384,0.075,0.0,0-1200,0.73,2011-04-28 17:55:00,4790063,1352.78,1200.0,11.29,3991.7192
100059,1017,1,16384,0.075,0.0,0-1200,0.73,2011-04-28 19:25:00,4788376,1352.76,1200.0,11.29,3990.3133
100060,1017,1,16384,0.075,0.0,0-1200,0.73,2011-04-28 19:48:00,4854910,1356.42,1200.0,11.53,4045.7583
100061,1017,1,16384,0.075,0.0,0-1200,0.73,2011-04-28 19:03:00,4789170,1352.78,1200.0,11.29,3990.975
100062,1017,1,16384,0.075,0.0,0-1200,0.73,2011-04-28 18:40:00,4787340,1352.72,1200.0,11.29,3989.45
100063,1022,1,16384,0.075,0.0,0-1200,0.73,2011-05-11 23:48:00,7625462,1449.16,1200.0,17.19,6354.5517
100064,1022,1,16384,0.075,0.0,0-1200,0.73,2011-05-12 00:12:00,7622025,1449.06,1200.0,17.19,6351.6875
100065,1022,1,16384,0.075,0.0,0-1200,0.73,2011-05-11 23:23:00,7629243,1449.3,1200.0,17.2,6357.7025
100066,1022,1,16384,0.075,0.0,0-1200,0.73,2011-05-11 22:59:00,7625689,1449.24,1200.0,17.2,6354.7408
100067,1022,1,16384,0.075,0.0,0-1200,0.73,2011-05-11 21:47:00,7620381,1449.12,1200.0,17.19,6350.3175
100068,1022,1,16384,0.075,0.0,0-1200,0.73,2011-05-11 22:35:00,7620403,1449.06,1200.0,17.19,6350.3358
100069,1022,1,16384,0.075,0.0,0-1200,0.73,2011-05-11 22:11:00,7619220,1449.08,1200.0,17.19,6349.35
100070,1025,1,16384,0.075,0.0,0-1200,0.73,2011-05-13 03:05:00,3143388,1298.42,1200.0,7.580000000000001,2619.49
100071,1025,1,16384,0.075,0.0,0-1200,0.73,2011-05-13 02:44:00,3145753,1298.52,1200.0,7.59,2621.4608
100072,1025,1,16384,0.075,0.0,0-1200,0.73,2011-05-13 02:00:00,3138440,1298.24,1200.0,7.57,2615.3667
100073,1025,1,16384,0.075,0.0,0-1200,0.73,2011-05-13 02:22:00,3142296,1298.38,1200.0,7.580000000000001,2618.58
100074,1025,1,16384,0.075,0.0,0-1200,0.73,2011-05-13 00:55:00,3142899,1298.42,1200.0,7.580000000000001,2619.0825
100075,1025,1,16384,0.075,0.0,0-1200,0.73,2011-05-13 01:17:00,3142196,1298.4,1200.0,7.580000000000001,2618.4967
100076,1025,1,16384,0.075,0.0,0-1200,0.73,2011-05-13 01:39:00,3141660,1298.38,1200.0,7.580000000000001,2618.05
100077,1006,1,16384,0.075,0.0,0-1200,0.73,2011-04-27 23:31:00,523056,1216.44,1200.0,1.35,435.88
100078,1006,1,16384,0.075,0.0,0-1200,0.73,2011-04-27 23:11:00,523451,1216.48,1200.0,1.35,436.2092
100079,1006,1,16384,0.075,0.0,0-1200,0.73,2011-04-27 22:30:00,523881,1216.52,1200.0,1.3599999999999999,436.5675
100080,1006,1,16384,0.075,0.0,0-1200,0.73,2011-04-27 22:50:00,523532,1216.52,1200.0,1.3599999999999999,436.2767
100081,1006,1,16384,0.075,0.0,0-1200,0.73,2011-04-27 21:29:00,521854,1216.48,1200.0,1.35,434.8783
100082,1006,1,16384,0.075,0.0,0-1200,0.73,2011-04-27 21:49:00,523889,1216.52,1200.0,1.3599999999999999,436.5742
100083,1006,1,16384,0.075,0.0,0-1200,0.73,2011-04-27 22:10:00,523369,1216.52,1200.0,1.3599999999999999,436.1408
100084,1001,1,16384,0.075,0.0,0-1200,0.93,2011-03-04 19:31:00,401376,1212.72,1200.0,1.05,334.48
100085,1001,1,16384,0.075,0.0,0-1200,0.93,2011-03-04 19:51:00,401009,1212.72,1200.0,1.05,334.1742
100086,1001,1,16384,0.075,0.0,0-1200,0.93,2011-03-04 19:10:00,401072,1212.7,1200.0,1.05,334.2267
100087,1001,1,16384,0.075,0.0,0-1200,0.93,2011-03-04 18:50:00,401136,1212.72,1200.0,1.05,334.28
100088,1001,1,16384,0.075,0.0,0-1200,0.93,2011-03-04 17:49:00,401149,1212.74,1200.0,1.05,334.2908
100089,1001,1,16384,0.075,0.0,0-1200,0.93,2011-03-04 18:30:00,401797,1212.72,1200.0,1.05,334.8308
100090,1001,1,16384,0.075,0.0,0-1200,0.93,2011-03-04 18:10:00,399926,1212.68,1200.0,1.05,333.2717
100091,1003,1,16384,0.075,0.0,0-1200,0.73,2011-02-28 19:42:00,669192,1220.96,1200.0,1.72,557.66
100092,1003,1,16384,0.075,0.0,0-1200,0.73,2011-02-28 20:02:00,670568,1220.98,1200.0,1.72,558.8067
100093,1003,1,16384,0.075,0.0,0-1200,0.73,2011-02-28 19:21:00,669471,1220.96,1200.0,1.72,557.8925
100094,1003,1,16384,0.075,0.0,0-1200,0.73,2011-02-28 20:23:00,669810,1220.98,1200.0,1.72,558.175
100095,1003,1,16384,0.075,0.0,0-1200,0.73,2011-02-28 20:43:00,667308,1220.9,1200.0,1.71,556.09
100096,1003,1,16384,0.075,0.0,0-1200,0.73,2011-02-28 21:24:00,668008,1220.96,1200.0,1.72,556.6733
100097,1003,1,16384,0.075,0.0,0-1200,0.73,2011-02-28 21:03:00,669176,1220.96,1200.0,1.72,557.6467
100098,1014,1,16384,0.075,0.0,0-1200,0.73,2011-03-01 19:29:00,2019870,1262.9,1200.0,4.9799999999999995,1683.225
100099,1014,1,16384,0.075,0.0,0-1200,0.73,2011-03-01 19:08:00,2020401,1262.92,1200.0,4.9799999999999995,1683.6675
100100,1014,1,16384,0.075,0.0,0-1200,0.73,2011-03-01 18:47:00,2014309,1262.72,1200.0,4.97,1678.5908
100101,1014,1,16384,0.075,0.0,0-1200,0.73,2011-03-01 20:12:00,2019861,1262.92,1200.0,4.9799999999999995,1683.2175
100102,1014,1,16384,0.075,0.0,0-1200,0.73,2011-03-01 19:51:00,2018976,1262.86,1200.0,4.9799999999999995,1682.48
100103,1014,1,16384,0.075,0.0,0-1200,0.73,2011-03-01 20:33:00,2017703,1262.86,1200.0,4.9799999999999995,1681.4192
100104,1014,1,16384,0.075,0.0,0-1200,0.73,2011-03-01 20:54:00,2020451,1262.88,1200.0,4.9799999999999995,1683.7092
100105,1028,1,16384,0.075,0.0,0-1200,0.73,2011-05-12 19:28:00,2647891,1282.66,1200.0,6.4399999999999995,2206.5758
100106,1028,1,16384,0.075,0.0,0-1200,0.73,2011-05-12 19:50:00,2646708,1282.66,1200.0,6.4399999999999995,2205.59
100107,1028,1,16384,0.075,0.0,0-1200,0.73,2011-05-12 19:07:00,2644377,1282.56,1200.0,6.4399999999999995,2203.6475
100108,1028,1,16384,0.075,0.0,0-1200,0.73,2011-05-12 20:11:00,2645693,1282.62,1200.0,6.4399999999999995,2204.7442
100109,1028,1,16384,0.075,0.0,0-1200,0.73,2011-05-12 20:32:00,2649581,1282.74,1200.0,6.45,2207.9842
100110,1028,1,16384,0.075,0.0,0-1200,0.73,2011-05-12 21:15:00,2647169,1282.68,1200.0,6.45,2205.9742
100111,1028,1,16384,0.075,0.0,0-1200,0.73,2011-05-12 20:54:00,2649432,1282.74,1200.0,6.45,2207.86
100112,1023,1,16384,0.075,0.0,0-1200,0.73,2011-04-22 20:35:00,6074194,1395.58,1200.0,14.01,5061.8283
100113,1023,1,16384,0.075,0.0,0-1200,0.73,2011-04-22 20:58:00,6069668,1395.46,1200.0,14.01,5058.0567
100114,1023,1,16384,0.075,0.0,0-1200,0.73,2011-04-22 21:45:00,6070292,1395.46,1200.0,14.01,5058.5767
100115,1023,1,16384,0.075,0.0,0-1200,0.73,2011-04-22 21:21:00,6071803,1395.52,1200.0,14.01,5059.8358
100116,1023,1,16384,0.075,0.0,0-1200,0.73,2011-04-22 19:48:00,6071197,1395.52,1200.0,14.01,5059.3308
100117,1023,1,16384,0.075,0.0,0-1200,0.73,2011-04-22 20:11:00,6070052,1395.46,1200.0,14.01,5058.3767
100118,1023,1,16384,0.075,0.0,0-1200,0.73,2011-04-22 19:25:00,6065094,1395.34,1200.0,14.000000000000002,5054.245
100119,1020,1,16384,0.075,0.0,0-1200,0.73,2011-05-11 17:51:00,1527277,1247.36,1200.0,3.8,1272.7308
100120,1020,1,16384,0.075,0.0,0-1200,0.73,2011-05-11 18:12:00,1528074,1247.38,1200.0,3.8,1273.395
100121,1020,1,16384,0.075,0.0,0-1200,0.73,2011-05-11 18:54:00,1528891,1247.42,1200.0,3.8,1274.0758
100122,1020,1,16384,0.075,0.0,0-1200,0.73,2011-05-11 18:33:00,1530329,1247.48,1200.0,3.81,1275.2742
100123,1020,1,16384,0.075,0.0,0-1200,0.73,2011-05-11 17:10:00,1527463,1247.3,1200.0,3.7900000000000005,1272.8858
100124,1020,1,16384,0.075,0.0,0-1200,0.73,2011-05-11 17:30:00,1527977,1247.38,1200.0,3.8,1273.3142
100125,1020,1,16384,0.075,0.0,0-1200,0.73,2011-05-11 16:49:00,1525681,1247.26,1200.0,3.7900000000000005,1271.4008
100126,1011,1,16384,0.075,0.0,0-1200,0.73,2011-05-09 22:56:00,1970390,1261.48,1200.0,4.87,1641.9917
100127,1011,1,16384,0.075,0.0,0-1200,0.73,2011-05-09 23:17:00,1971676,1261.54,1200.0,4.88,1643.0633
100128,1011,1,16384,0.075,0.0,0-1200,0.73,2011-05-09 22:35:00,1970187,1261.48,1200.0,4.87,1641.8225
100129,1011,1,16384,0.075,0.0,0-1200,0.73,2011-05-09 23:38:00,1969428,1261.5,1200.0,4.88,1641.19
100130,1011,1,16384,0.075,0.0,0-1200,0.73,2011-05-09 23:59:00,1969687,1261.58,1200.0,4.88,1641.4058
100131,1011,1,16384,0.075,0.0,0-1200,0.73,2011-05-10 00:41:00,1970948,1261.56,1200.0,4.88,1642.4567
100132,1011,1,16384,0.075,0.0,0-1200,0.73,2011-05-10 00:20:00,1969584,1261.5,1200.0,4.88,1641.32
100133,1021,1,8192,0.075,0.0,0-600,0.93,2011-02-23 18:18:50,2371897,1257.1,1200.0,4.54,1976.5808
100134,1021,1,8192,0.075,0.0,0-600,0.93,2011-02-23 18:39:49,2368215,1256.86,1200.0,4.52,1973.5125
100135,1021,1,8192,0.075,0.0,0-600,0.93,2011-02-23 19:21:45,2370661,1257.14,1200.0,4.55,1975.5508
