# Generated on 20231113_061841
# START DATA TYPES
# int64 : UID.source
# datetime64[ns] : certificate.u.reference_date,certificate.separation_date
# float64 : certificate.u.u.234.value,certificate.u.u.234.uncertainty,certificate.u.u.235.value,certificate.u.u.235.uncertainty,certificate.u.u.236.value,certificate.u.u.236.uncertainty,certificate.u.u.238.value,certificate.u.u.238.uncertainty
# object : certificate.identification,certificate.document,certificate.fraction_unit,certificate.uncertainty,certificate.uncertainty.number_of_sigma
# END DATA TYPES
UID.source,certificate.identification,certificate.u.reference_date,certificate.u.u.234.value,certificate.u.u.234.uncertainty,certificate.u.u.235.value,certificate.u.u.235.uncertainty,certificate.u.u.236.value,certificate.u.u.236.uncertainty,certificate.u.u.238.value,certificate.u.u.238.uncertainty,certificate.separation_date,certificate.document,certificate.fraction_unit,certificate.uncertainty,certificate.uncertainty.number_of_sigma
100,CRM146.NBL0001,1999-07-01,0.14861,0.00037,20.107,0.02,0.1973,0.0013,79.547,0.02,1990-01-01,"HEU_CRM146.pdf, Page 37",wt%,absolute,2 sigma
101,CRM146.NBL0002,1999-07-01,0.3718,0.001,52.488,0.042,0.26451,0.0006,46.876,0.043,1990-01-01,"HEU_CRM146.pdf, Page 37",wt%,absolute,2 sigma
102,CRM969.194,1985-06-01,0.0171,0.0002,1.942,0.0014,0.0003,0.0003,98.0406,0.0018,1977-01-01,"LEU_SRM969.pdf, Page 103",wt%,absolute,2 sigma
103,CRM969.295,1985-06-01,0.0279,0.0004,2.9492,0.0021,0.0033,0.0002,97.0196,0.0029,1977-01-01,"LEU_SRM969.pdf, Page 103",wt%,absolute,2 sigma
104,SRM.SP260-27.U005,1971-04-01,0.00214,-3.0,0.4833,-3.0,0.00462,-3.0,99.51,-3.0,1971-04-01,"SP260-27.pdf, Page 144",wt%,absolute,2 sigma
105,SRM.SP260-27.U010,1971-04-01,0.00532,-3.0,0.9911,-3.0,0.00675,-3.0,98.997,-3.0,1971-04-01,"SP260-27.pdf, Page 145",wt%,absolute,2 sigma
106,SRM.SP260-27.U015,1971-04-01,0.00836,-3.0,1.5132,-3.0,0.0163,-3.0,98.462,-3.0,1971-04-01,"SP260-27.pdf, Page 146",wt%,absolute,2 sigma
107,SRM.SP260-27.U020,1971-04-01,0.0123,-3.0,2.013,-3.0,0.0164,-3.0,97.959,-3.0,1971-04-01,"SP260-27.pdf, Page 147",wt%,absolute,2 sigma
108,SRM.SP260-27.U050,1971-04-01,0.0275,-3.0,4.949,-3.0,0.0476,-3.0,94.975,-3.0,1971-04-01,"SP260-27.pdf, Page 149",wt%,absolute,2 sigma
109,SRM.SP260-27.U100,1971-04-01,0.0666,-3.0,10.075,-3.0,0.0376,-3.0,89.821,-3.0,1971-04-01,"SP260-27.pdf, Page 150",wt%,absolute,2 sigma
110,SRM.SP260-27.U150,1971-04-01,0.0978,-3.0,15.143,-3.0,0.0656,-3.0,84.693,-3.0,1971-04-01,"SP260-27.pdf, Page 151",wt%,absolute,2 sigma
111,SRM.SP260-27.U200,1971-04-01,0.1229,-3.0,19.811,-3.0,0.2103,-3.0,79.856,-3.0,1971-04-01,"SP260-27.pdf, Page 152",wt%,absolute,2 sigma
112,SRM.SP260-27.U350,1971-04-01,0.2467,-3.0,34.903,-3.0,0.1667,-3.0,64.684,-3.0,1971-04-01,"SP260-27.pdf, Page 153",wt%,absolute,2 sigma
113,SRM.SP260-27.U500,1971-04-01,0.5126,-3.0,49.383,-3.0,0.0754,-3.0,50.029,-3.0,1971-04-01,"SP260-27.pdf, Page 154",wt%,absolute,2 sigma
114,SRM.SP260-27.U750,1971-04-01,0.588,-3.0,75.129,-3.0,0.2502,-3.0,24.033,-3.0,1971-04-01,"SP260-27.pdf, Page 155",wt%,absolute,2 sigma
115,SRM.SP260-27.U800,1971-04-01,0.6519,-3.0,80.088,-3.0,0.245,-3.0,19.015,-3.0,1971-04-01,"SP260-27.pdf, Page 156",wt%,absolute,2 sigma
116,SRM.SP260-27.U850,1971-04-01,0.6399,-3.0,84.988,-3.0,0.3713,-3.0,14.001,-3.0,1971-04-01,"SP260-27.pdf, Page 157",wt%,absolute,2 sigma
117,SRM.SP260-27.U900,1971-04-01,0.7735,-3.0,90.098,-3.0,0.3337,-3.0,8.795,-3.0,1971-04-01,"SP260-27.pdf, Page 158",wt%,absolute,2 sigma
118,SRM.SP260-27.U930,1971-04-01,1.0759,-3.0,93.276,-3.0,0.2034,-3.0,5.455,-3.0,1971-04-01,"SP260-27.pdf, Page 159",wt%,absolute,2 sigma
