# Generated on 20231113_061844
# START DATA TYPES
# int64 : UID.metadata,UID.source,configuration.distance
# float64 : sample.composition.pu.238.value,sample.composition.pu.239.value,sample.composition.pu.240.value,sample.composition.pu.241.value,sample.composition.pu.242.value,sample.composition.am.241.value
# object : sample.material.type,sample.material.chemical_composition,sample.material.form,configuration.detector.material,configuration.detector.geometry,configuration.detector.analyzer,configuration.attenuators,supplementary.detector_size,supplementary.electronics,supplementary.measurement_geometry
# END DATA TYPES
UID.metadata,UID.source,sample.material.type,sample.material.chemical_composition,sample.material.form,sample.composition.pu.238.value,sample.composition.pu.239.value,sample.composition.pu.240.value,sample.composition.pu.241.value,sample.composition.pu.242.value,sample.composition.am.241.value,configuration.detector.material,configuration.detector.geometry,configuration.detector.analyzer,configuration.attenuators,configuration.distance,supplementary.detector_size,supplementary.electronics,supplementary.measurement_geometry
2000,200,Pu,PuO2,Pellet,0.01,93.896,5.966,0.093,0.034,0.327,CdTe,Unknown,Radiant 2000,Cd:0.762,-3,Unknown,Radiant 2000,No collimation with open face lead-shielded detector
2001,201,Pu,PuO2,Pellet,0.019,89.646,10.076,0.165,0.093,0.529,HPGe,Planar,DSPEC Plus,Cd:1.016,-3,ORTEC SGD,DSPEC Plus,No collimation with open face lead-shielded detector
2002,201,Pu,PuO2,Pellet,0.019,89.667,10.076,0.144,0.093,0.548,HPGe,BEGe,Integrated MCA,Cd:1.016,-3,Falcon 5000,Integrated MCA,No collimation with open face lead-shielded detector
2003,201,Pu,PuO2,Pellet,0.02,89.604,10.075,0.208,0.093,0.49,CdTe,Unknown,Radiant 2000,Cd:1.016,-3,Unknown,Radiant 2000,No collimation with open face lead-shielded detector
2004,202,Pu,PuO2,Pellet,0.04,85.236,14.169,0.323,0.232,1.263,HPGe,BEGe,Integrated MCA,Cd:1.016,-3,Falcon 5000,Integrated MCA,No collimation with open face lead-shielded detector
2005,202,Pu,PuO2,Pellet,0.041,85.192,14.165,0.37,0.232,1.22,HPGe,Planar,DSPEC Plus,Cd:1.016,-3,ORTEC SGD,DSPEC Plus,No collimation with open face lead-shielded detector
2006,202,Pu,PuO2,Pellet,0.041,85.192,14.165,0.37,0.232,1.221,HPGe,Planar,DSPEC Plus,Cd:1.016,-3,ORTEC SGD,DSPEC Plus,No collimation with open face lead-shielded detector
2007,202,Pu,PuO2,Pellet,0.042,85.103,14.155,0.467,0.232,1.131,CdTe,Unknown,Radiant 2000,Cd:1.016,-3,Unknown,Radiant 2000,No collimation with open face lead-shielded detector
2008,203,Pu,PuO2,Pellet,0.092,78.815,19.927,0.601,0.565,2.751,HPGe,BEGe,Integrated MCA,Cd:1.016,-3,Falcon 5000,Integrated MCA,No collimation with open face lead-shielded detector
2009,203,Pu,PuO2,Pellet,0.094,78.741,19.913,0.688,0.564,2.672,HPGe,Planar,DSPEC Plus,Cd:1.016,-3,ORTEC SGD,DSPEC Plus,No collimation with open face lead-shielded detector
2010,203,Pu,PuO2,Pellet,0.097,78.592,19.882,0.865,0.563,2.509,CdTe,Unknown,Radiant 2000,Cd:1.016,-3,Unknown,Radiant 2000,No collimation with open face lead-shielded detector
2011,204,Pu,PuO2,Pellet,0.112,77.089,21.425,0.675,0.7,3.074,HPGe,BEGe,Integrated MCA,Cd:1.524,-3,Falcon 5000,Integrated MCA,No collimation with open face lead-shielded detector
2012,204,Pu,PuO2,Pellet,0.114,77.007,21.407,0.773,0.699,2.985,HPGe,Planar,DSPEC Plus,Cd:1.524,-3,ORTEC SGD,DSPEC Plus,No collimation with open face lead-shielded detector
2013,204,Pu,PuO2,Pellet,0.118,76.844,21.369,0.971,0.697,2.8,CdTe,Unknown,Radiant 2000,Cd:1.524,-3,Unknown,Radiant 2000,No collimation with open face lead-shielded detector
2014,205,Pu,PuO2,Pellet,0.81,69.138,24.747,1.771,3.533,7.262,HPGe,BEGe,Integrated MCA,Cd:1.524,-3,Falcon 5000,Integrated MCA,No collimation with open face lead-shielded detector
2015,205,Pu,PuO2,Pellet,0.81,69.138,24.747,1.771,3.533,7.263,HPGe,BEGe,Integrated MCA,Cd:1.524,-3,Falcon 5000,Integrated MCA,No collimation with open face lead-shielded detector
2016,205,Pu,PuO2,Pellet,0.826,68.943,24.683,2.025,3.523,7.015,HPGe,Planar,DSPEC Plus,Cd:1.524,-3,ORTEC SGD,DSPEC Plus,No collimation with open face lead-shielded detector
2017,205,Pu,PuO2,Pellet,0.852,68.558,24.554,2.533,3.503,6.507,CdTe,Unknown,Radiant 2000,Cd:1.524,-3,Unknown,Radiant 2000,No collimation with open face lead-shielded detector
2018,206,Pu,PuO2,Pellet,1.103,65.268,26.789,2.199,4.641,8.037,HPGe,BEGe,Integrated MCA,Cd:1.778,-3,Falcon 5000,Integrated MCA,No collimation with open face lead-shielded detector
2019,206,Pu,PuO2,Pellet,1.124,65.039,26.701,2.513,4.624,7.722,HPGe,Planar,DSPEC Plus,Cd:1.778,-3,ORTEC SGD,DSPEC Plus,No collimation with open face lead-shielded detector
2020,206,Pu,PuO2,Pellet,1.158,64.586,26.525,3.139,4.591,7.079,CdTe,Unknown,Radiant 2000,Cd:1.778,-3,Unknown,Radiant 2000,No collimation with open face lead-shielded detector
