# Generated on 20231113_061844
# START DATA TYPES
# int64 : UID.source,supplementary.pu.mass.value,supplementary.pu.mass.uncertainty,supplementary.pu.content.value,supplementary.pu.content.uncertainty,certificate.separation_date
# datetime64[ns] : certificate.pu.reference_date
# float64 : certificate.pu.pu.238.value,certificate.pu.pu.238.uncertainty,certificate.pu.pu.239.value,certificate.pu.pu.239.uncertainty,certificate.pu.pu.240.value,certificate.pu.pu.240.uncertainty,certificate.pu.pu.241.value,certificate.pu.pu.241.uncertainty,certificate.pu.pu.242.value,certificate.pu.pu.242.uncertainty,certificate.pu.am.241.value,certificate.pu.am.241.uncertainty,certificate.pu.240eff.value,certificate.pu.240eff.uncertainty
# object : certificate.identification,certificate.document,certificate.fraction_unit,certificate.uncertainty,certificate.uncertainty.number_of_sigma
# END DATA TYPES
UID.source,certificate.identification,certificate.pu.reference_date,certificate.pu.pu.238.value,certificate.pu.pu.238.uncertainty,certificate.pu.pu.239.value,certificate.pu.pu.239.uncertainty,certificate.pu.pu.240.value,certificate.pu.pu.240.uncertainty,certificate.pu.pu.241.value,certificate.pu.pu.241.uncertainty,certificate.pu.pu.242.value,certificate.pu.pu.242.uncertainty,certificate.pu.am.241.value,certificate.pu.am.241.uncertainty,supplementary.pu.mass.value,supplementary.pu.mass.uncertainty,supplementary.pu.content.value,supplementary.pu.content.uncertainty,certificate.document,certificate.pu.240eff.value,certificate.pu.240eff.uncertainty,certificate.separation_date,certificate.fraction_unit,certificate.uncertainty,certificate.uncertainty.number_of_sigma
200,PIDIE.1,1988-01-01,0.01106,1.5,93.8223,0.0034,5.9689,0.043,0.19766,0.64,0.0342,2.2,0.2286,1.3,-1,-1,-1,-1,"PIDIE.pdf, Page 96",6.0542,0.2891,-3,at%,relative,1 sigma
201,PIDIE.2,1988-01-01,0.02272,1.2,89.4632,0.0039,10.0713,0.033,0.4428,0.2,0.0932,1.1,0.2633,0.49,-1,-1,-1,-1,"PIDIE.pdf, Page 97",10.2851,0.3806,-3,at%,relative,1 sigma
202,PIDIE.3,1988-01-01,0.0475,0.4,84.8347,0.0041,14.1277,0.018,0.99,0.18,0.2311,1.6,0.6249,1.2,-1,-1,-1,-1,"PIDIE.pdf, Page 98",14.6356,0.6729,-3,at%,relative,1 sigma
203,PIDIE.4,1988-01-01,0.1096,0.45,78.237,0.0065,19.8164,0.018,1.8368,0.11,0.5604,0.22,1.5727,0.83,-1,-1,-1,-1,"PIDIE.pdf, Page 99",21.0341,0.4308,-3,at%,relative,1 sigma
204,PIDIE.5,1988-01-01,0.133,0.42,76.5037,0.0096,21.3003,0.027,2.0633,0.1,0.6938,0.11,1.7484,1.1,-1,-1,-1,-1,"PIDIE.pdf, Page 100",22.801,0.6058,-3,at%,relative,1 sigma
205,PIDIE.6,1988-01-01,0.9695,0.25,68.8902,0.0062,24.7027,0.018,5.4378,0.11,3.5186,0.054,3.7755,1.7,-1,-1,-1,-1,"PIDIE.pdf, Page 101",33.0571,0.8202,-3,at%,relative,1 sigma
206,PIDIE.7,1988-01-01,1.322,0.62,65.1318,0.032,26.7813,0.036,6.7648,0.097,4.6281,0.087,3.677,1.5,-1,-1,-1,-1,"PIDIE.pdf, Page 102",37.8879,2.3777,-3,at%,relative,1 sigma
