# Generated on 20231113_061844
# START DATA TYPES
# int64 : UID.spectrum
# object : spectra.md5
# END DATA TYPES
UID.spectrum,spectra.md5
200000,4858dcd0b7f973f754aa643d59950703
200001,6e4a799d192a03a2b19feb242ad2b3c5
200002,508427fa9ece9532cbf75f6e58f20f8f
200003,71a433ba5bb3495f070c4fdc18e6e90a
200004,33d30b6a21980c6a2d862c5b11da29b2
200005,90b0ea9a3fc884e198d26e524d2a690a
200006,6c75a7f6a3745cc31e79fe66f538a229
200007,fe01acb83e6a6d81c6ed84c1190057e0
200008,1f4daf471ba040ab9c06baee9647d6a3
200009,f5a764199a1eb27c5fda30553da18816
200010,32a2132bae04c3447fda1be39a986a8f
200011,286c1944e0a4756a8b4df992f6e348a6
200012,53863e0a8bec344ab8147cf5f052b33f
200013,479ebee2cac5ec795017f7cde01bc976
200014,5ff49059521ccb46884d9f89d930675a
200015,1a61fce08db8685983a961993c162bca
200016,7b066de905e14aeb96d6bd010247c5d9
200017,91b0ade4f06eb0aea1a8d6f653b479f5
200018,5779ea7523a649e6833e2871e51b50c2
200019,dc61a6733ad321b428b471406ab4173c
200020,7c05f6f3fc4259234e17b76619b9fbca
200021,3069a574495baa7cd4867fb7c502bf52
200022,5d3ee7bc2003759eba8fe8de1af2e60c
200023,30664905ef2655d61ef50795371ca82f
200024,5ea2f039fe1bacd60d33deb40d808d86
200025,b092949f780d15c6511cb1960672cdc8
200026,f25a1e75f40f33fad1b70547c4df06af
200027,b4d1d0f7efa20cbbef3a2a375c7fc613
200028,3444a6bc7f150ce6ce2654563a435c77
200029,df32c2045322d6faacbe85ee9bd313e9
200030,92528da977ab18bd91d6ee512647c00d
200031,3628feb93466bf9c8f8335c978d4bb4f
200032,439daa19791317356dd26984d388463e
200033,6a52f8c783d8084fbd37c8c5491cbbf6
200034,03a288110f9b7fd4aac5119d3723fc6e
200035,21854bfa81d7824aaea5ee5a5b2d36fe
200036,29a2fd078aa7daf5a778707679735fb2
200037,3f135dfac8633767ca6a7483d5234200
200038,5c1290bbd77b6102ee20ce07422ad189
200039,4b89bfbcc66c9110b8d3dd6fdd3b3500
200040,dbeb7c39e991e42d372502a3205d560d
200041,2dd05c111ecc17ee2efd2345400e710b
200042,2b2d52a0817a93ded42ca0ce608307e6
200043,2d0a4ebe5ca5bf008f415edb60da1080
200044,687e33287721a128271fdc11f20eb010
200045,05018a57974617de35022f945fc54824
200046,5f320a183dd4384558ecb99f5546d6a4
200047,660644ce7898d6822ad5cf4bdf096b0a
200048,6c097acb2b2c788fe10c778f651c32a3
200049,80aae807c980432b9ea3b5ae56ce1316
200050,b353f78b291f9dba61e8fa9b443d8335
200051,41ee97658c1a5a73dc4205e6a3d9f244
200052,d5a1c4900fc67a4cdfdd07c0d192ea38
200053,0cf9b43d68d745ee40f09519c527a404
200054,c145519ecb635f1f99f581eec65bdb97
200055,5838c2804743ed6b9fd5435bfd5f7d22
200056,9f88e9daf075a4e996218cd45daa708f
200057,5fc01d0e92dd3ccf75e8ed6b6d244c88
200058,e337c57318cee6be067e91e8c6ce2183
200059,9ce65653d3a77e3b12d088ebabd70622
200060,1fff3262c791745d286beac019579d05
200061,710abd5a9b699e827a5f4e48e01daf0f
200062,044a9cb689bfba40e36e5de574955cef
200063,20516641652c03112a91898b86474cf9
200064,812f15167988d049d2e326614c917b72
200065,af3c533c5024df85ba30435a04c7598c
200066,7283c66ae646579bd65c25cff1cc900e
200067,348961a6f92dde1c1205d59c13712d9a
200068,656937b10a1a97625a487769a544daca
200069,f85f99436b88431062aec432ec07bcaf
200070,4b5260880109510c349f6fbfa9098ca5
200071,206887a4bbee368f7d16ec32832bdf93
200072,6dcc9d4a026efda6ee56a75a1627fe32
200073,473e93cbc11f95d760bc02d5323fdeb0
200074,b28a52783fc85989b94e273cdc725181
200075,d5b7ce342fbccbf39b3db63f9acd8dfa
200076,b83b8c1c1d2cac2594b50879bfecf24d
200077,ab3f613dd025176abb00f5e5ed15cd71
200078,e4958becb0400b81f20d4d7f7555a4fc
200079,1457c8913864678d6945894e76d94ff2
200080,7d5089fb8b6e2455ce38d045adc7ec77
200081,921ec718a97e866d50056a954d1ffdf3
200082,7db9677eaeb28985ed8924af3b528e68
200083,b72c1a2fdcab4cb6ae23073dcbc577e3
200084,1f65cafcf55261ce0ee924aa341ee941
200085,248f737d5d198726dcc2cf85fd40a661
200086,d558615a92ba5da2ee3594021c2e1b01
200087,b4ab7e352064a6111f4653516b84946b
200088,f3f1b1ae2042cd9538893f4612647a29
200089,d21f5b26d00260d0514848866621dd99
200090,45af31c782e488642b3fdfcff9494251
200091,6c0b52777ae47e5d8cecf7c7db57e359
200092,9793377e96943141be437ea42c83360f
200093,2b52172a7321fdac4e456ffbbba60d1c
200094,85ea28b3643f9681b8d42ccb7c7ecd69
200095,6fb959046d8705a967543ff4236b049c
200096,20cb0f36e9ec50af018e83a40d9b26bd
200097,3cc83b1e66c6a6e1d3e755366e2437b0
200098,3e6fd6004ee6cd519c883e6d2b9b49a1
200099,78f6cd47a714d23e5b59cd6d13e316ed
200100,f2f7770c1d671cba82fc6612833fdaae
200101,a46823e5f68e75cc3d9bae66cd5526b1
200102,331e9fc6cd4c0e3b26151e40bf5c3c2d
200103,c453a1f50f63229dc4ff4ddca6ae7dab
200104,6febc123842c0e4a063a4684d837dab4
200105,7f599e46b19cb12585468febc77cbd23
200106,ea4688944bc5afd43a796ef6b914b0a3
200107,176f60561aae705d62acc9b67d9f357f
200108,7f65d16a19b5de8dc7c42e985e3180c7
200109,fa7ab9362df7650641bb543c5ce5e3da
200110,26aeadcc373d6d71b58cecfe64fb16b7
200111,45393bf50db53aa3b1a1529611ba2217
200112,ac5c95ed586daecc16214140e824109a
200113,29b562aa053d22feffac4197f4fa3b3b
200114,e92980a533a53061ce33c241c012185f
200115,aec9fd06fc860c5fa4a692b20797cc1e
200116,b9da706bb10cb47c2875aebb04ea7d5b
200117,9797133c9aed8f74eae800b214e04a7b
200118,cac95600a33ec6f512a235a092f9392a
200119,67757e2685ed77c593bb315159fd160d
200120,4162dae2c3c0c5db977c1e78c786abec
200121,065c5b6f78cd09d0bc9733cfd7747694
200122,6b8ce8210f3d3461d8bdbbc741d3c07a
200123,d2f325d8d592a4f108251163debdbc80
200124,19c8f2babcd0eb2b3be8fc60c9caa955
200125,fed4eaf3601b1a7e75120c0dd8075fbd
200126,7b394c602272832ed2c3db9a71c1c51b
200127,513e7b87a821ccf4053536adaed8f7a7
200128,34ecc79b38466ca858f42787f57618c7
200129,fa2202e3f37fc45aa3a6279d64f35da4
200130,d38e1592e4b8e01cfa19bc5877463af5
200131,aa1ea83493ef872d7eac27bd05d54bb2
200132,638a79fec49145f16cfe5d69708c7151
