# Generated on 20231113_061844
# START DATA TYPES
# int64 : UID.spectrum,UID.metadata,sample.section,configuration.detector.analyzer.number_of_channels,configuration.acquisition.total_counts
# float64 : configuration.detector.analyzer.gain,configuration.detector.analyzer.offset,configuration.detector.fwhm,configuration.acquisition.real_time.seconds,configuration.acquisition.live_time.seconds,configuration.acquisition.dead_time,configuration.acquisition.count_rate
# datetime64[ns] : configuration.acquisition.date
# object : configuration.detector.analyzer.energy_range
# END DATA TYPES
UID.spectrum,UID.metadata,sample.section,configuration.detector.analyzer.number_of_channels,configuration.detector.analyzer.gain,configuration.detector.analyzer.offset,configuration.detector.analyzer.energy_range,configuration.detector.fwhm,configuration.acquisition.date,configuration.acquisition.total_counts,configuration.acquisition.real_time.seconds,configuration.acquisition.live_time.seconds,configuration.acquisition.dead_time,configuration.acquisition.count_rate
200000,2009,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-18 18:51:00,2596491,673.96,600.0,10.97,4327.485
200001,2009,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-18 18:40:00,2594835,673.9,600.0,10.97,4324.725
200002,2009,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-18 19:02:00,2590749,673.8,600.0,10.95,4317.915
200003,2009,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-18 19:13:00,2591149,673.8,600.0,10.95,4318.5817
200004,2009,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-18 11:06:16,2597067,673.96,600.0,10.97,4328.445
200005,2009,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-18 18:28:00,2596363,673.94,600.0,10.97,4327.2717
200006,2009,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-18 18:17:00,2593723,673.88,600.0,10.96,4322.8717
200007,2012,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-20 18:12:00,2697783,677.0,600.0,11.37,4496.305
200008,2012,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-20 18:01:00,2695860,676.98,600.0,11.37,4493.1
200009,2012,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-20 18:23:00,2694488,676.94,600.0,11.37,4490.8133
200010,2012,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-20 18:35:00,2694539,677.0,600.0,11.37,4490.8983
200011,2012,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-20 10:27:23,2699985,677.12,600.0,11.39,4499.975
200012,2012,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-20 17:50:00,2698281,677.06,600.0,11.379999999999999,4497.135
200013,2012,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-20 17:38:00,2698092,677.04,600.0,11.379999999999999,4496.82
200014,2001,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-06 22:48:00,2341811,667.06,600.0,10.05,3903.0183
200015,2001,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-06 22:37:00,2344401,667.1,600.0,10.059999999999999,3907.335
200016,2001,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-06 22:26:00,2342017,667.08,600.0,10.059999999999999,3903.3617
200017,2001,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-06 23:10:00,2341265,667.02,600.0,10.05,3902.1083
200018,2001,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-06 22:59:00,2343975,667.12,600.0,10.059999999999999,3906.625
200019,2001,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-06 23:21:00,2341900,667.06,600.0,10.05,3903.1667
200020,2001,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-06 23:32:00,2343444,667.1,600.0,10.059999999999999,3905.74
200021,2006,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-16 18:16:00,3476267,701.66,600.0,14.49,5793.7783
200022,2005,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-16 10:53:09,3474349,701.46,600.0,14.46,5790.5817
200023,2006,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-16 18:04:00,3481563,701.74,600.0,14.499999999999998,5802.605
200024,2006,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-16 18:40:00,3476418,701.78,600.0,14.499999999999998,5794.03
200025,2006,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-16 18:28:00,3480706,701.88,600.0,14.52,5801.1767
200026,2006,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-16 18:51:00,3481797,701.94,600.0,14.52,5802.995
200027,2006,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-16 19:03:00,3479055,701.94,600.0,14.52,5798.425
200028,2016,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-23 10:38:53,5715081,772.96,600.0,22.38,9525.135
200029,2016,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-23 18:04:00,5723952,773.18,600.0,22.400000000000002,9539.92
200030,2016,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-23 17:51:00,5719152,773.1,600.0,22.39,9531.92
200031,2016,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-23 18:43:00,5721666,773.12,600.0,22.39,9536.11
200032,2016,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-23 18:56:00,5719886,773.08,600.0,22.39,9533.1433
200033,2016,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-23 18:30:00,5721695,773.12,600.0,22.39,9536.1583
200034,2016,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-23 18:17:00,5724960,773.28,600.0,22.41,9541.6
200035,2019,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-25 12:27:03,6637433,803.98,600.0,25.369999999999997,11062.3883
200036,2019,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-25 19:53:00,6637035,804.22,600.0,25.39,11061.725
200037,2019,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-25 19:40:00,6638279,804.06,600.0,25.380000000000003,11063.7983
200038,2019,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-25 20:34:00,6636237,804.48,600.0,25.419999999999998,11060.395
200039,2019,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-25 20:47:00,6640281,804.56,600.0,25.430000000000003,11067.135
200040,2019,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-25 20:20:00,6629831,804.16,600.0,25.39,11049.7183
200041,2019,1,16384,0.075,0.0,0-1260 keV,0.8,2008-06-25 20:07:00,6638752,804.4,600.0,25.41,11064.5867
200042,2013,1,8192,0.075,0.0,0-600 keV,1.81,2003-09-12 17:23:00,278757,620.12,600.0,3.2399999999999998,464.595
200043,2013,1,8192,0.075,0.0,0-600 keV,1.81,2003-09-12 17:33:00,274648,620.18,600.0,3.25,457.7467
200044,2013,1,8192,0.075,0.0,0-600 keV,1.81,2003-09-12 17:43:00,267746,619.84,600.0,3.2,446.2433
200045,2013,1,8192,0.075,0.0,0-600 keV,1.81,2003-09-12 18:25:00,278534,620.56,600.0,3.3099999999999996,464.2233
200046,2013,1,8192,0.075,0.0,0-600 keV,1.81,2003-09-12 18:15:00,278164,620.52,600.0,3.3099999999999996,463.6067
200047,2013,1,8192,0.075,0.0,0-600 keV,1.81,2003-09-12 17:54:00,273364,620.04,600.0,3.2300000000000004,455.6067
200048,2013,1,8192,0.075,0.0,0-600 keV,1.81,2003-09-12 18:04:00,280975,620.24,600.0,3.26,468.2917
200049,2000,1,8192,0.075,0.0,0-600 keV,1.81,2003-08-08 19:24:00,349237,613.94,600.0,2.27,582.0617
200050,2000,1,8192,0.075,0.0,0-600 keV,1.81,2003-08-08 19:14:00,344393,614.04,600.0,2.29,573.9883
