# Generated on 20231113_061543
# START DATA TYPES
# int64 : UID.spectrum,UID.metadata,sample.section,configuration.detector.analyzer.number_of_channels,configuration.acquisition.total_counts
# float64 : configuration.detector.analyzer.gain,configuration.detector.analyzer.offset,configuration.detector.fwhm,configuration.acquisition.real_time.seconds,configuration.acquisition.live_time.seconds,configuration.acquisition.dead_time,configuration.acquisition.count_rate
# datetime64[ns] : configuration.acquisition.date
# object : configuration.detector.analyzer.energy_range
# END DATA TYPES
UID.spectrum,UID.metadata,sample.section,configuration.detector.analyzer.number_of_channels,configuration.detector.analyzer.gain,configuration.detector.analyzer.offset,configuration.detector.analyzer.energy_range,configuration.detector.fwhm,configuration.acquisition.date,configuration.acquisition.total_counts,configuration.acquisition.real_time.seconds,configuration.acquisition.live_time.seconds,configuration.acquisition.dead_time,configuration.acquisition.count_rate
200000,2047,1,1024,0.25,0.0,0-250 keV,1.73,2003-07-01 02:15:04,2992617,900.0,729.0,19.0,4105.0988
200001,2053,1,1024,0.25,0.0,0-250 keV,1.87,2003-07-01 15:08:01,5050376,900.0,480.0,46.67,10521.6167
200002,2055,1,1024,0.25,0.0,0-250 keV,1.9,2003-07-01 18:28:05,5478415,900.0,488.0,45.78,11226.2602
200003,2040,1,1024,0.25,0.0,0-250 keV,2.09,2003-06-30 21:41:04,1628613,900.0,744.0,17.330000000000002,2188.996
200004,2043,1,1024,1.25,0.0,0-1250 keV,12.0,2005-09-16 20:19:01,6338699,600.0,569.0,5.17,11140.0685
200005,2061,1,1024,1.25,0.0,0-1250 keV,12.0,2005-09-16 20:34:00,5582085,424.0,397.0,6.370000000000001,14060.6675
200006,2049,1,1024,1.25,0.0,0-1250 keV,12.0,2005-09-16 20:42:03,6172314,600.0,570.0,5.0,10828.6211
200007,2042,1,1024,1.25,0.0,0-1024 keV,12.0,2005-09-16 19:51:04,3336476,347.0,331.0,4.61,10079.9879
200008,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 17:54:00,41513118,1800.0,991.0,44.940000000000005,41890.1292
200009,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 20:54:00,41446089,1800.0,994.0,44.78,41696.2666
200010,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 21:24:00,41426634,1800.0,994.0,44.78,41676.6942
200011,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 18:24:00,41509413,1800.0,991.0,44.940000000000005,41886.3905
200012,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 20:24:00,41435182,1800.0,993.0,44.83,41727.2729
200013,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 17:24:00,41528363,1800.0,990.0,45.0,41947.8414
200014,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 16:54:00,41529268,1800.0,990.0,45.0,41948.7556
200015,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 19:54:00,41478856,1800.0,992.0,44.89,41813.3629
200016,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 21:54:00,41423436,1800.0,994.0,44.78,41673.4769
200017,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 15:24:00,41582711,1800.0,989.0,45.06,42045.2083
200018,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 22:24:00,41420056,1800.0,994.0,44.78,41670.0765
200019,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 16:24:00,41541315,1800.0,990.0,45.0,41960.9242
200020,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 22:54:00,41422419,1800.0,995.0,44.72,41630.5719
200021,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 15:54:00,41568938,1800.0,989.0,45.06,42031.2821
200022,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 19:24:00,41488331,1800.0,992.0,44.89,41822.9143
200023,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 18:54:00,41510973,1800.0,991.0,44.940000000000005,41887.9647
200024,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 05:13:00,32756017,1800.0,1232.0,31.56,26587.6761
200025,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 04:43:00,32752460,1800.0,1232.0,31.56,26584.789
200026,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 03:13:00,32748587,1800.0,1232.0,31.56,26581.6453
200027,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 06:13:00,32749797,1800.0,1232.0,31.56,26582.6274
200028,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 05:43:00,32758361,1800.0,1232.0,31.56,26589.5787
200029,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 02:43:00,32757966,1800.0,1232.0,31.56,26589.2581
200030,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 06:43:00,32760685,1800.0,1232.0,31.56,26591.4651
200031,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 03:43:00,32761604,1800.0,1232.0,31.56,26592.211
200032,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 04:13:00,32759743,1800.0,1232.0,31.56,26590.7005
200033,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 07:13:00,32754874,1800.0,1232.0,31.56,26586.7484
200034,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 02:12:00,32758372,1800.0,1232.0,31.56,26589.5877
200035,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 01:42:00,32766109,1800.0,1232.0,31.56,26595.8677
200036,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 08:43:00,32775166,1800.0,1232.0,31.56,26603.2192
200037,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 07:43:00,32754504,1800.0,1232.0,31.56,26586.4481
200038,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 08:13:00,32755597,1800.0,1232.0,31.56,26587.3352
200039,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 01:12:00,32768586,1800.0,1232.0,31.56,26597.8782
200040,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 05:48:00,41481083,1800.0,992.0,44.89,41815.6079
200041,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 05:18:00,41478192,1800.0,992.0,44.89,41812.6935
200042,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 08:18:00,41483096,1800.0,993.0,44.83,41775.5247
200043,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 08:48:00,41482291,1800.0,993.0,44.83,41774.714
200044,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 01:48:00,41465489,1800.0,993.0,44.83,41757.7936
200045,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 02:48:00,41467002,1800.0,992.0,44.89,41801.4133
200046,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 02:18:00,41468898,1800.0,993.0,44.83,41761.2266
200047,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 09:18:00,41477808,1800.0,993.0,44.83,41770.1994
200048,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 07:18:00,41480040,1800.0,993.0,44.83,41772.4471
200049,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 04:18:00,41476463,1800.0,993.0,44.83,41768.8449
200050,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 04:48:00,41466985,1800.0,993.0,44.83,41759.3001
200051,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 07:48:00,41484604,1800.0,993.0,44.83,41777.0433
200052,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 03:48:00,41477513,1800.0,992.0,44.89,41812.0091
200053,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 06:48:00,41484353,1800.0,993.0,44.83,41776.7905
200054,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 06:18:00,41473262,1800.0,993.0,44.83,41765.6213
200055,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 03:18:00,41471106,1800.0,992.0,44.89,41805.5504
200056,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 17:14:00,36812010,1800.0,1134.0,37.0,32462.0899
200057,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 20:14:00,36806499,1800.0,1134.0,37.0,32457.2302
200058,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 20:44:00,36822053,1800.0,1134.0,37.0,32470.9462
200059,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 17:44:00,36816072,1800.0,1134.0,37.0,32465.672
200060,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 21:45:00,36799533,1800.0,1134.0,37.0,32451.0873
200061,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 18:44:00,36811303,1800.0,1134.0,37.0,32461.4665
200062,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 18:14:00,36812649,1800.0,1134.0,37.0,32462.6534
200063,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 21:14:00,36816279,1800.0,1134.0,37.0,32465.8545
200064,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 23:15:00,35452971,1800.0,1167.0,35.17,30379.581
200065,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 16:14:00,36835638,1800.0,1133.0,37.059999999999995,32511.5958
200066,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 16:44:00,36812850,1800.0,1134.0,37.0,32462.8307
200067,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 15:44:00,36857534,1800.0,1132.0,37.11,32559.659
200068,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 22:45:00,36806697,1800.0,1134.0,37.0,32457.4048
200069,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 22:15:00,36796661,1800.0,1134.0,37.0,32448.5547
200070,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 19:14:00,36817023,1800.0,1134.0,37.0,32466.5106
200071,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 19:44:00,36819509,1800.0,1134.0,37.0,32468.7028
200072,2048,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 15:44:03,36857475,1800.0,1132.0,37.11,32559.6069
200073,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 01:48:01,41465415,1800.0,993.0,44.83,41757.719
200074,2060,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 15:24:02,41582628,1800.0,989.0,45.06,42045.1244
200075,2025,1,8192,0.075,0.0,0-610 keV,0.74,2002-10-22 22:22:01,14994663,900.0,649.0,27.889999999999997,23104.2573
200076,2041,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 01:12:02,32768530,1800.0,1232.0,31.56,26597.8328
200077,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 22:48:27,41481083,1800.0,992.0,44.89,41815.6079
200078,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 22:18:26,41478192,1800.0,992.0,44.89,41812.6935
200079,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 23:48:31,41484353,1800.0,993.0,44.83,41776.7905
200080,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 20:48:21,41477513,1800.0,992.0,44.89,41812.0091
200081,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 20:18:20,41471106,1800.0,992.0,44.89,41805.5504
200082,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 23:18:29,41473262,1800.0,993.0,44.83,41765.6213
200083,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 21:18:23,41476463,1800.0,993.0,44.83,41768.8449
200084,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 00:18:32,41480040,1800.0,993.0,44.83,41772.4471
200085,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-08-01 00:48:33,41484604,1800.0,993.0,44.83,41777.0433
200086,2054,1,8192,0.075,0.0,0-614 keV,0.7,2001-07-31 21:48:24,41466985,1800.0,993.0,44.83,41759.3001
