# Generated on 20231113_061547
# START DATA TYPES
# int64 : UID.spectrum,UID.metadata,sample.section,configuration.detector.analyzer.number_of_channels,configuration.acquisition.total_counts
# float64 : configuration.detector.analyzer.gain,configuration.detector.analyzer.offset,configuration.detector.fwhm,configuration.acquisition.real_time.seconds,configuration.acquisition.live_time.seconds,configuration.acquisition.dead_time,configuration.acquisition.count_rate
# datetime64[ns] : configuration.acquisition.date
# object : configuration.detector.analyzer.energy_range
# END DATA TYPES
UID.spectrum,UID.metadata,sample.section,configuration.detector.analyzer.number_of_channels,configuration.detector.analyzer.gain,configuration.detector.analyzer.offset,configuration.detector.analyzer.energy_range,configuration.detector.fwhm,configuration.acquisition.date,configuration.acquisition.total_counts,configuration.acquisition.real_time.seconds,configuration.acquisition.live_time.seconds,configuration.acquisition.dead_time,configuration.acquisition.count_rate
300000,3018,1,8192,0.075,0.0,0-614 keV,0.81,2002-10-28 15:16:04,3318369,900.0,851.0,5.4399999999999995,3899.376
300001,3014,1,8192,0.075,0.0,0-614 keV,0.69,2002-10-24 19:57:02,2765188,900.0,859.0,4.5600000000000005,3219.078
300002,3016,1,8192,0.075,0.0,0-614 keV,0.7,2002-10-23 22:08:00,4386543,900.0,834.0,7.33,5259.6439
300003,3015,1,8192,0.075,0.0,0-610 keV,0.71,2002-10-23 15:14:01,9710422,900.0,748.0,16.89,12981.8476
300004,3017,1,8192,0.075,0.0,0-614 keV,0.68,2002-10-24 15:54:01,2395940,900.0,864.0,4.0,2773.0787
300005,3022,1,8192,0.125,0.0,0-1024 keV,1.3,1995-05-16 11:42:16,58280782,7200.0,6623.0,8.01,8799.7557
300006,3007,1,8192,0.125,0.0,0-1024 keV,1.17,1998-03-31 06:53:05,18444048,1800.0,1310.0,27.22,14079.426
300007,3020,1,8192,0.125,0.0,0-1024 keV,1.31,1995-05-17 11:36:02,46157910,7200.0,6753.0,6.21,6835.171
300008,3000,1,8192,0.125,0.0,0-1024 keV,0.97,2000-06-27 21:48:14,5873498,10800.0,10704.0,0.89,548.7199
300009,3001,1,8192,0.125,0.0,0-1024 keV,0.86,2000-06-27 09:42:25,18552045,10800.0,10499.0,2.79,1767.0297
300010,3021,1,8192,0.125,0.0,0-1024 keV,1.32,1995-05-04 11:27:38,102067557,7200.0,6128.0,14.89,16655.9329
300011,3019,1,8192,0.125,0.0,0-1024 keV,1.4,1995-05-03 13:52:38,140503380,7200.0,5601.0,22.21,25085.4097
300012,3006,1,8192,0.125,0.0,0-1024 keV,1.02,1999-04-28 17:36:50,72330066,3600.0,2203.0,38.81,32832.5311
300013,3005,1,8192,0.125,0.0,0-1024 keV,1.02,1999-03-19 10:12:27,74878626,3600.0,2139.0,40.58,35006.3703
300014,3004,1,8192,0.125,0.0,0-1024 keV,1.02,1999-04-30 07:56:27,72509894,3600.0,2201.0,38.86,32944.0682
300015,3003,1,8192,0.125,0.0,0-1024 keV,1.04,1999-04-07 16:51:37,72770095,3600.0,2182.0,39.39,33350.181
300016,3002,1,8192,0.125,0.0,0-1024 keV,1.01,1999-05-05 07:35:48,72543967,3600.0,2202.0,38.83,32944.5808
300017,3008,1,8192,0.125,0.0,0-1024 keV,1.12,1998-04-01 07:19:29,15549478,1383.0,945.0,31.669999999999998,16454.4741
300018,3023,1,8192,0.125,0.0,0-1024 keV,1.45,1995-05-23 11:59:53,37839208,7200.0,6835.0,5.07,5536.0948
300019,3013,1,8192,0.3659,0.2223,0-3000 keV,1.3,2005-09-19 19:12:05,5539428,900.0,674.0,25.11,8218.7359
300020,3010,1,8192,0.3659,0.2223,0-3000 keV,1.3,2005-09-20 15:43:02,4531936,900.0,721.0,19.89,6285.6255
300021,3011,1,8192,0.3659,0.2223,0-3000 keV,1.3,2005-09-16 19:42:05,7253277,900.0,584.0,35.11,12419.9949
300022,3009,1,8192,0.3659,0.2223,0-3000 keV,1.3,2005-09-16 15:04:00,9442866,900.0,410.0,54.44,23031.3805
300023,3012,1,8192,0.3659,0.2223,0-3000 keV,1.3,2005-09-21 15:48:05,3878338,900.0,749.0,16.78,5178.0214
