# Generated on 20231113_061547
# START DATA TYPES
# int64 : UID.spectrum
# object : spectra.md5
# END DATA TYPES
UID.spectrum,spectra.md5
300000,908ac1433e9a4e437005f775c0e37246
300001,e0fbb2c274c5866cb7ea07a865cf2113
300002,9d077a2602919ee2e3b195b5cafa2c2c
300003,73f14e49cc56b1ca84a1be479ce12d27
300004,062eceb9bef98ebc79f4caebeaa8d915
300005,8f1eeb554d922e4bfc3ef19fcb79e0dd
300006,4a8678b84f65b87cf79daad170aa7bd1
300007,72c46b7011a8fc9ca8314ce43cba589c
300008,d8165c10faa8bccd63f9d29fb81c8565
300009,2c25ab63ceaa3915147a0a967ccbe980
300010,24d0184ac20fdfb421b35d02905bcccd
300011,e2d518987e34b376f65f1f32d0653a35
300012,5814d60b76b632489095b42075ab764c
300013,62f91ac4eed77db866f59aeb76ac6b5b
300014,b4c7519481c692993964e7e934e6b1c8
300015,28495adbcf75b98fb2d26e101deff65f
300016,195f7171f8a7b363c6c61b953697a623
300017,d31f87614bb28f39da00a86bf64000f6
300018,5e2e34a88da40e5735f6b41225c99cdd
300019,565241720223c3f89eea82625448452d
300020,66173d3c92a1c92d3f2ce5e4e68346d5
300021,4703cedaeebe30f3d2554f5a60602664
300022,4737e74c2e6059469c0ea4aa2bcb08ac
300023,04c1ad5348acd9a02f3a7bdd049aec01
