# Generated on 20231113_061539
# START DATA TYPES
# int64 : UID.spectrum,UID.metadata,sample.section,configuration.detector.analyzer.number_of_channels,configuration.acquisition.total_counts
# float64 : configuration.detector.analyzer.offset,configuration.detector.fwhm,configuration.acquisition.real_time.seconds,configuration.acquisition.live_time.seconds,configuration.acquisition.dead_time,configuration.acquisition.count_rate
# datetime64[ns] : configuration.acquisition.date
# object : configuration.detector.analyzer.gain,configuration.detector.analyzer.energy_range
# END DATA TYPES
UID.spectrum,UID.metadata,sample.section,configuration.detector.analyzer.number_of_channels,configuration.detector.analyzer.gain,configuration.detector.analyzer.offset,configuration.detector.analyzer.energy_range,configuration.detector.fwhm,configuration.acquisition.date,configuration.acquisition.total_counts,configuration.acquisition.real_time.seconds,configuration.acquisition.live_time.seconds,configuration.acquisition.dead_time,configuration.acquisition.count_rate
100000,1011,1,2048,0.125,0.0,0-250,1.56,2002-09-26 15:09:01,366618,900.0,876.0,2.67,418.5137
100001,1010,1,1024,1.25,0.0,0-250,8.37,2006-03-09 23:20:02,59746,300.0,300.0,0.0,199.1533
100002,1053,1,1024,1.25,0.0,0-250,10.42,2006-03-09 22:37:02,508873,302.0,300.0,0.66,1696.2433
100003,1054,1,2048,0.125,0.0,0-250,1.88,2002-10-02 18:26:03,4197174,900.0,751.0,16.56,5588.7803
100004,1046,1,2048,0.125,0.0,0-250,1.68,2002-10-02 15:08:02,2246481,900.0,813.0,9.67,2763.1993
100005,1045,1,1024,1.25,0.0,0-250,10.4,2006-03-09 22:43:02,237680,301.0,300.0,0.33,792.2667
100006,1023,1,1024,1.25,0.0,0-250,10.56,2006-03-09 23:05:01,73618,300.0,300.0,0.0,245.3933
100007,1024,1,2048,0.125,0.0,0-250,1.58,2002-09-24 21:14:04,493558,900.0,881.0,2.11,560.2247
100008,1017,1,2048,0.125,0.0,0-250,1.68,2002-09-25 20:22:03,396309,900.0,873.0,3.0,453.9622
100009,1016,1,1024,1.25,0.0,0-250,8.17,2006-03-09 23:13:02,63058,300.0,300.0,0.0,210.1933
100010,1064,1,2048,0.125,0.0,0-250,2.07,2002-10-02 21:42:02,5955467,900.0,678.0,24.67,8783.8746
100011,1063,1,1024,1.25,0.0,0-250,10.55,2006-03-09 22:12:05,864619,304.0,300.0,1.32,2882.0633
100012,1031,1,2048,0.125,0.0,0-250,1.55,2002-09-24 17:53:04,588569,900.0,835.0,7.22,704.8731
100013,1039,1,2048,0.125,0.0,0-250,1.68,2002-09-26 20:19:00,727074,900.0,874.0,2.8899999999999997,831.8924
100014,1030,1,1024,1.25,0.0,0-250,9.42,2006-03-09 22:58:02,82592,300.0,300.0,0.0,275.3067
100015,1038,1,1024,1.25,0.0,0-250,10.71,2006-03-09 22:51:01,96733,300.0,300.0,0.0,322.4433
100016,1014,1,1024,1.25,0.0,0-250,10.67,2006-03-09 23:36:00,318324,301.0,300.0,0.33,1061.08
100017,1059,1,1024,1.25,0.0,0-250,11.22,2006-03-09 22:55:00,2569584,308.0,300.0,2.6,8565.28
100018,1051,1,1024,1.25,0.0,0-250,11.09,2006-03-09 23:00:05,1202935,304.0,300.0,1.32,4009.7833
100019,1027,1,1024,1.25,0.0,0-250,11.32,2006-03-09 23:20:03,387046,301.0,300.0,0.33,1290.1533
100020,1021,1,1024,1.25,0.0,0-250,11.36,2006-03-09 23:27:02,334564,301.0,300.0,0.33,1115.2133
100021,1067,1,1024,1.25,0.0,0-250,11.2,2006-03-09 22:48:05,4375639,315.0,300.0,4.760000000000001,14585.4633
100022,1035,1,1024,1.25,0.0,0-250,10.84,2006-03-09 23:13:03,430121,301.0,300.0,0.33,1433.7367
100023,1043,1,1024,1.25,0.0,0-250,10.89,2006-03-09 23:06:03,501407,301.0,300.0,0.33,1671.3567
100024,1015,1,1024,1.25,0.0,0-250,14.82,2006-03-09 23:27:01,251490,303.0,300.0,0.9900000000000001,838.3
100025,1060,1,1024,1.25,0.0,0-250,19.52,2006-03-09 22:43:00,2307061,323.0,300.0,7.12,7690.2033
100026,1052,1,1024,1.25,0.0,0-250,19.52,2006-03-09 22:51:01,1041092,311.0,300.0,3.54,3470.3067
100027,1028,1,1024,1.25,0.0,0-250,19.8,2006-03-09 23:13:03,311934,303.0,300.0,0.9900000000000001,1039.78
